"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"accidents";"frequency";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
81;40000;2835,97748506;7130,60858426;30033,41;699,164616164;0;4;1;17;7;1;0;1;2;1;2;1;0;53;0;1;1;0;1
82;40000;1007,52650076;7357,08808736;31635,39;217,457740562;0;1;1;3;30;2;0;2;1;1;1;2;0;19;0;1;1;0;1
83;40000;2646,08893114;5663,63445745;31690,28;718,255141186;0;21;1;3;19;1;0;3;1;2;10;1;0;22;0;1;1;0;2
84;40000;2544,10607828;13379,9280407;24075,97;1021,03729843;0;11;1;6;12;1;0;1;1;2;2;1;0;6;0;1;1;0;1
85;40000;1400,47498446;6305,17134434;32294,35;955,609353395;0;4;1;4;18;1;0;1;1;2;5;1;0;22;0;1;1;0;1
86;40000;521,567159939;7816,14810541;31662,28;890,783494805;0;3;4;2;21;1;0;3;5;1;2;2;0;50;0;1;2;0;1
87;40000;6205,57932749;2948,72759122;30845,69;439,841477117;0;7;1;16;2;2;0;1;1;1;15;1;0;32;0;1;1;0;1
88;40000;3394,43145483;15127,7120682;21477,86;259,561199872;0;3;1;3;3;2;0;1;1;2;8;2;0;22;0;1;2;0;1
89;40000;357,04333018;25928,1195041;13714,84;251,309577422;0;3;1;3;27;1;0;2;1;4;2;5;0;20;0;1;1;0;1
90;40000;462,775754537;7466,57847055;32070,65;820,9510072;0;4;1;2;4;1;0;3;1;2;4;1;0;16;0;2;1;0;1
91;40000;1429,11781733;10878,83512;27692,05;1022,02099819;0;24;2;3;9;1;0;1;1;1;13;1;0;10;0;3;1;0;2
92;40000;2426,21198807;5028,32271058;32545,47;573,656805281;0;3;1;16;8;2;0;1;1;2;2;1;0;21;0;1;1;0;1
93;40000;1192,47071272;7183,31772448;31624,21;1081,49992781;0;1;1;2;5;1;0;1;1;1;6;2;0;16;0;1;1;0;1
94;40000;1877,79351696;3331,3104006;34790,9;1156,77379528;0;8;3;3;14;1;0;1;1;1;2;5;0;18;0;1;1;0;1
95;40000;1738,58428199;6092,5804793;32168,84;1091,86321147;0;10;1;4;3;2;0;3;7;1;2;2;0;11;0;1;1;0;2
96;40000;4788,59807883;3265,91174522;31945,49;642,389132647;0;2;1;2;25;2;0;1;1;2;1;4;0;3;0;1;1;0;1
97;40000;1958,82836205;6802,04379411;31239,13;527,062402647;0;5;1;21;21;1;0;1;1;2;4;1;0;2;0;2;1;0;2
