"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
194;1061705,14;426211,391086;8085,01409669;627408,73;2990,81359134;3722,04975593;42,569999694825;44,77250003815;2;60369,37768;7546,17221;67899,69566;8487,4619575;56822,271;7102,783875;63380,8864;7922,6108;0;0;0;9;0;22;1;2;0;0;0;13;0;1;0;0;1
195;320555,87;9463,62529626;63747,4450995;247344,8;8079,23415483;1885,48681657;30,467499732975;25,196666876475;2;33583,62483;2798,6354025;37492,31924;3124,35993666667;30364,8875;2530,40729166667;35563,73689;2963,64474083333;0;0;0;24;0;225;3;2;0;0;0;1;0;2;0;0;1
196;271027,62;7871,22501294;40900,9503454;222255,44;6551,98246332;1737,73012479;24,1523078038159;27,2876924368;2;46153,60492;3550,27730153846;51834,77899;3987,29069153846;43883,53043;3375,65618692308;49742,30613;3826,33124076923;0;0;0;8;0;199;10;2;0;0;0;6;0;2;0;0;1
197;297747,75;14806,8139853;42068,8866397;240872,05;6393,09724067;1051,0067037;26,2623076805538;27,1423077216462;2;35721,37334;2747,79794923077;40178,03101;3090,61777;34411,28165;2647,02166538462;38535,19699;2964,24592230769;0;0;0;4;0;165;1;3;0;0;0;2;0;2;0;0;4
198;268562,23;19760,1751828;49074,5041035;199727,55;4119,84524937;948,348874846;20,711176423472;27,6670587764059;2;38983,19153;2293,12891352941;43753,0432;2573,70842352941;37181,9409;2187,17299411765;41899,1387;2464,65521764706;0;0;0;6;0;69;7;1;0;0;0;4;0;2;0;0;2
199;434812,68;33878,3391187;72384,7801325;328549,56;11260,4999457;2920,17902528;33,3481820713412;29,7254545688643;2;183010,29654;8318,64984272727;205803,00622;9354,68210090909;173432,08872;7883,27676;193644,24218;8802,01100818182;0;0;0;7;0;266;3;1;0;0;0;2;0;1;0;0;2
200;140121,57;17348,6773491;3336,44480315;119436,45;1977,39424172;956,652691166;44,8599998950875;32,207499980925;4;78011,2686;9751,408575;87741,20731;10967,65091375;73523,43263;9190,42907875;82027,29397;10253,41174625;0;0;0;2;0;18;3;1;0;0;0;2;0;5;0;0;2
201;2100425,71;228005,798979;32594,0698462;1839825,84;17531,1322179;9168,21678092;47,3515790136263;45,9484212273105;2;119791,78956;6304,83102947368;134698,79486;7089,41025578947;112891,52499;5941,65921;126296,7908;6647,19951578947;0;0;0;21;0;89;1;5;0;0;0;3;0;7;0;0;2
202;320951,78;29254,3483984;42190,0727094;249507,36;8368,6385604;2419,43917707;43,9830768291615;43,9830766824538;2;65864,97911;5066,53685461538;74081,53393;5698,57953307692;62313,48948;4793,34534461539;69567,61039;5351,35464538462;0;0;0;14;0;222;4;1;0;0;0;1;0;2;0;0;3
203;725458,87;31454,9341109;28458,9568032;665544,98;4563,26878691;2896,13692585;36,1637496948;44,079999446875;3;44595,86402;5574,4830025;50159,34072;6269,91759;42580,40532;5322,550665;47610,76247;5951,34530875;0;0;0;9;0;66;10;5;0;0;0;3;0;8;0;0;2
204;330016,49;13562,609913;64043,296139;252410,58;7428,37254294;1216,11355476;30,1199997795778;29,5211109585222;2;26343,32089;2927,03565444444;29605,93582;3289,54842444444;25213,59668;2801,51074222222;28181,1692;3131,24102222222;0;0;0;32;0;195;3;1;0;0;0;2;0;2;0;0;2
205;233503,05;24492,8731295;41287,0705563;167723,11;3692,39459742;1465,59967441;29,31099977492;35,53799972533;2;43814,03438;4381,403438;49238,88785;4923,888785;41688,54335;4168,854335;46546,35857;4654,635857;0;0;0;2;0;79;8;3;0;0;0;4;0;1;0;0;3
206;412357,35;110328,446192;75980,482983;226048,42;7642,10287672;2053,78988384;23,4600000381429;23,1166666121762;2;75725,47874;3605,97517809524;84832,18663;4039,62793476191;72058,35475;3431,35022619048;80976,68737;3856,03273190476;0;0;0;11;0;188;4;5;0;0;0;12;0;2;0;0;1
207;394072,67;14134,3456412;5479,13253372;374459,19;2053,23983926;1635,1859363;27,4559996287;37,9913330078067;2;57158,46483;3810,564322;64156,061;4277,07073333333;54706,5402;3647,10268;61040,97802;4069,39853466667;0;0;0;14;0;15;8;1;0;0;0;6;0;3;0;0;3
208;281887,07;32478,8765682;5638,92112608;243769,27;3830,96628185;1555,18597358;19,9975002606583;35,7016673087917;3;45963,99504;3830,33292;51604,82606;4300,40217166667;43817,49968;3651,45830666667;48875,64089;4072,97007416667;0;0;0;14;0;46;5;6;0;0;0;3;0;3;0;0;3
209;112652,3;40322,0932477;17928,6433589;54401,56;1563,86247769;731,286663822;30,8771422249857;28,8000000545;2;42427,92667;6061,13238142857;47642,66358;6806,09479714286;40563,40291;5794,77184428571;45275,22042;6467,88863142857;0;0;0;2;0;32;1;3;0;0;0;1;0;4;0;0;2
210;482628,4;46660,1571045;110409,545776;325558,7;6561,01050061;251,950329171;22,8346668243333;35,9086671193333;2;8393,62601;559,575067333333;9465,7369;631,049126666667;7980,21709;532,014472666667;8936,04352;595,736234666667;0;0;0;6;0;95;2;6;0;0;0;2;0;5;0;0;1
211;368930,18;91833,1335102;47823,9294276;229273,12;4274,84941369;2581,6701145;33,7837499380051;33,9368751049125;2;97096,44053;6068,527533125;109347,55923;6834,222451875;90974,4287;5685,90179375;101547,76928;6346,73558;0;0;0;2;0;69;10;4;0;0;0;13;0;3;0;0;2
212;439249,08;43917,5176852;110769,166212;284562,4;5690,98362958;1174,52409093;37,5931253433187;33,0868750214625;2;100903,21225;6306,450765625;113754,53828;7109,6586425;92582,96752;5786,43547;104142,38706;6508,89919125;0;0;0;8;0;74;8;1;0;0;0;10;0;3;0;0;2
213;565346,36;71672,6595503;17502,0419007;476171,66;5170,45843955;1647,51834428;28,5290909680455;31,7872730602;2;37945,7349;3449,61226363636;42565,64897;3869,60445181818;35673,28357;3243,02577909091;40268,27215;3660,75201363636;0;0;0;14;0;39;2;1;0;0;0;2;0;2;0;0;2
214;1193199,17;112161,198624;15314,7232083;1065723,25;6697,93575153;4307,31156551;44,1483335495333;46,1450004577833;2;1316,69544;219,44924;1316,69544;219,44924;0;0;1316,69544;219,44924;0;0;0;17;0;28;10;3;0;0;0;0;0;5;0;0;4
215;579554,76;89130,2781288;107468,163573;382956,32;13871,104329;4576,71358244;23,0148000335655;23,410800056456;2;89867,11385;3594,684554;101019,55635;4040,782254;83180,52447;3327,2209788;94801,43383;3792,0573532;0;0;0;2;0;459;11;2;0;0;0;0;0;4;0;0;2
216;371039,16;17213,854857;75743,1608502;278082,14;7415,84157479;3560,86740329;23,7726085911569;21,2121740838739;3;111160,06667;4833,04637695652;124952,92025;5432,73566304348;105206,56704;4574,19856695652;117390,3486;5103,9282;0;0;0;12;0;155;10;3;0;0;0;0;0;5;0;0;1
217;362601,5;27894,7443751;80017,4237486;254689,33;7722,86875409;1822,42559392;30,77666664125;29,4558337529417;2;38985,93589;3248,82799083333;43579,24715;3631,60392916667;35817,45268;2984,78772333333;41470,29279;3455,8577325;0;0;0;4;0;218;10;1;0;0;0;0;0;3;0;0;5
218;397486,64;196298,537111;38402,0159394;162786,09;5553,44161317;1238,63202489;25,6571430479;30,7107140677429;2;38179,88424;2727,13458857143;42836,42552;3059,74468;35833,09801;2559,50700071429;40599,92254;2899,99446714286;0;0;0;14;0;113;3;5;0;0;0;0;0;3;0;0;2
219;341871,99;19577,0989724;98816,4893056;223478,4;9696,7847314;3298,89903103;28,8222581186742;25,7109676484226;2;130786,56568;4218,92147354839;147077,9263;4744,44923548387;123938,0594;3998,00191612903;138759,32294;4476,1071916129;0;0;0;5;0;211;1;4;0;0;0;0;0;4;0;0;4
220;318212,48;29407,8320738;28119,4923072;260685,16;9378,39478392;2636,718915;23,6441382704172;28,8355174229;2;147133,16208;5073,55731310345;165325,40912;5700,87617655172;138310,72282;4769,33526965517;154883,48696;5340,80989517242;0;0;0;4;0;225;6;1;0;0;0;0;0;2;0;0;3
221;394996,39;30840,9851432;17513,5406358;346641,86;3302,67781002;1107,86002473;31,12750053405;30,59999990465;2;9490,69719;1186,33714875;10650,11183;1331,26397875;8607,03149;1075,87893625;9905,89497;1238,23687125;0;0;0;4;0;30;2;1;0;0;0;0;0;5;0;0;2
222;119792,33;8071,03696817;26979,1425206;84742,15;3879,47711027;776,397335813;28,80999984742;28,97000045776;2;12171,76325;2434,35265;13660,8412;2732,16824;11626,35207;2325,270414;12971,02497;2594,204994;0;0;0;4;0;158;4;5;0;0;0;0;0;3;0;0;3
223;350818,84;35734,9598603;54375,7727942;260708,11;9551,18658221;2396,30221526;24,62300014497;25,66600036621;2;21235,20716;2123,520716;23803,29594;2380,329594;20008,20412;2000,820412;22632,59152;2263,259152;0;0;0;9;0;367;3;3;0;0;0;0;0;5;0;0;3
224;172488,3;4211,08647509;44924,299392;123352,91;5449,08639018;2245,03770956;36,4137504101;22,0287501812;2;27242,62602;3405,3282525;30587,7502;3823,468775;25916,86358;3239,6079475;28908,02376;3613,50297;0;0;0;2;0;175;5;2;0;0;0;0;0;3;0;0;1
225;26460,98;2988,30969205;4292,69452546;19179,98;644,194162163;376,064064585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;12;2;3;0;0;0;0;0;5;0;0;2
226;26953,36;2052,09341255;4114,63113296;20786,64;377,351526306;102,570446422;6,68000030516;39,59400100706;1;10796,27498;2159,254996;12134,12196;2426,824392;10201,90845;2040,38169;11379,53485;2275,90697;0;0;0;4;0;8;11;1;0;0;0;0;0;3;0;0;2
227;118802,2;17818,2891103;25678,3946567;75305,52;2076,55551385;1845,40179003;16,019999980925;17,0174999237167;1;8281,97352;690,16446;9239,76336;769,98028;7299,11565;608,2596375;8762,7918;730,23265;0;0;0;8;0;31;4;1;0;0;0;0;0;3;0;0;1
228;79419,65;13403,9718395;9234,31856992;56781,36;1349,51033357;1098,23285328;14,5607694479;20,9130769876231;1;6716,27501;516,636539230769;7510,02114;577,693933846154;5791,56678;445,505136923077;7012,07101;539,390077692308;0;0;0;15;0;24;1;1;0;0;0;0;0;2;0;0;2
229;181485,02;12268,5327096;34784,3885865;134432,1;4277,7033806;57,0853097373;27,2333333757222;26,4811117384333;2;16322,69763;1813,63307;18285,24514;2031,69390444444;15221,37842;1691,26426888889;17409,07835;1934,34203888889;0;0;0;5;0;115;3;1;0;0;0;0;0;1;0;0;2
230;528926,97;25712,9403641;106496,018169;396718,01;13963,4074533;3503,76402581;30,8836359544182;31,8645456487455;2;18932,90461;1721,17314636364;21255,93877;1932,35807;18095,12664;1645,01151272727;20198,43188;1836,22108;0;0;0;3;0;467;3;1;0;0;0;0;0;5;0;0;3
231;689127,47;40787,227253;103395,445734;544944,8;14282,5263481;4231,30378864;28,5167856216429;26,0132141113214;2;90540,03256;3233,57259142857;101706,16494;3632,36303357143;85084,47166;3038,73113071429;95927,09035;3425,9675125;0;0;0;2;0;358;1;1;0;0;0;0;0;2;0;0;1
232;300211,33;47966,4688864;23588,093143;228656,77;5465,16648365;1958,09061716;28,4142856597857;28,4142856597857;2;4848,78865;692,684092857143;5420,78538;774,397911428571;4363,48713;623,355304285714;5185,81589;740,830841428571;0;0;0;2;0;94;1;10;0;0;0;0;0;1;0;0;2
233;462351,52;22372,9960763;56568,6204665;383409,9;10343,1021054;2294,26269752;26,52266651789;24,7116668701167;2;75564,47489;2518,81582966667;84805,58473;2826,85282433333;70425,31006;2347,51033533333;79841,96026;2661,39867533333;0;0;0;2;0;222;2;9;0;0;0;0;0;4;0;0;1
234;465178,6;28693,0227277;23300,5214054;413185,06;10311,2397613;2452,42278452;25,2786207527897;27,5268966904987;2;53729,33167;1852,73557482759;60236,20748;2077,11060275862;49481,93458;1706,2736062069;56636,77862;1952,9923662069;0;0;0;2;0;147;3;3;0;0;0;0;0;6;0;0;1
235;506701,61;33072,6893059;33318,7508136;440310,17;11505,4508139;2035,80498128;28,575882238492;24,5438235507265;2;192502,38842;5661,83495352941;216383,01659;6364,20637029412;182064,95468;5354,85160823529;203126,1534;5974,29862941176;0;0;0;3;0;146;2;3;0;0;0;0;0;6;0;0;1
236;419161,72;55420,9579671;53056,6755497;310684,09;8438,69512891;1159,88931678;27,0862501859875;28,3062503338;2;13228,31937;1653,53992125;14821,72756;1852,715945;12364,28377;1545,53547125;14109,03885;1763,62985625;0;0;0;4;0;145;1;1;0;0;0;0;0;7;0;0;1
237;1467878,49;727795,727002;1228,47638955;738854,29;15352,6071522;617,340140942;40,5649986267;40,5649986267;2;0;0;0;0;0;0;0;0;0;0;0;22;0;62;3;1;0;0;0;0;0;5;0;0;4
238;1306182,06;161807,08951;75947,3592879;1068427,61;14007,3832543;5953,90791706;28,5142422878364;28,9587879180909;2;160599,77636;4866,65988969697;180534,54269;5470,74371787879;151719,88431;4597,57225181818;169636,69009;5140,50576030303;0;0;0;8;0;172;8;4;0;0;0;0;0;5;0;0;3
239;190653,65;11438,3517399;20739,7348496;158475,56;4784,39345645;675,124133569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;83;6;3;0;0;0;0;0;1;0;0;1
240;118437,37;9793,57330424;4765,02081668;103878,78;1951,26873612;422,508980803;32,3300018311;32,3300018311;5;7059,54359;3529,771795;7939,61166;3969,80583;6644,49453;3322,247265;7411,37809;3705,689045;0;0;0;6;0;40;2;2;0;0;0;0;0;3;0;0;2
241;163099,43;20022,3296003;4499,26379915;138577,84;2442,87681609;1175,92698424;28,57200088502;28,57200088502;3;6390,9082;1278,18164;7190,4786;1438,09572;6053,75682;1210,751364;6761,33617;1352,267234;0;0;0;30;0;52;2;2;0;0;0;0;0;3;0;0;2
242;375662,52;15899,312806;82593,5642238;277169,64;8574,78506576;3530,18512291;30,2164287567;29,2764289719643;2;29184,84808;2084,63200571429;32825,52322;2344,68023;27721,1;1980,07857142857;30968,56475;2212,04033928571;0;0;0;17;0;179;1;2;0;0;0;0;0;3;0;0;2
243;405214,53;21309,8588222;56756,4334313;327148,24;8836,14998899;1561,43324524;30,6191670099833;30,1483338673917;3;44149,51975;3679,12664583333;49668,13891;4139,01157583333;41797,04928;3483,08744;46678,05213;3889,8376775;0;0;0;14;0;190;3;1;0;0;0;0;0;2;0;0;1
244;226485,53;14058,1773123;23092,846073;189334,51;4751,59568872;997,331862953;34,2981817072091;30,9418185841;2;57707,32447;5246,12040636364;64849,43347;5895,40304272727;54115,33692;4919,57608363636;60662,55148;5514,77740727273;0;0;0;3;0;87;2;2;0;0;0;0;0;6;0;0;3
245;220914;30171,36438;25988,7293225;164753,91;4630,71086383;1701,89896231;32,1166663169833;32,3225002288833;2;45928,70443;3827,39203583333;51645,57018;4303,797515;43298,62463;3608,21871916667;48298,56272;4024,88022666667;0;0;0;27;0;106;1;1;0;0;0;0;0;2;0;0;1
246;479285,02;46285,2368056;13395,2579294;419604,53;3722,5434413;670,1680134;23,50375056265;33,06375026705;2;24935,79087;3116,97385875;28011,97461;3501,49682625;23748,82342;2968,6029275;26509,29517;3313,66189625;0;0;0;26;0;22;6;2;0;0;0;0;0;3;0;0;1
247;156294,02;4510,68115021;26742,6471018;125040,69;3390,53067277;1185,41189168;35,3159998575867;15,6813331604;2;47045,90863;3136,39390866667;52853,75096;3523,58339733333;44594,86854;2972,991236;49741,61401;3316,10760066667;0;0;0;7;0;58;9;4;0;0;0;0;0;4;0;0;5
248;516990,45;19907,4769127;97764,0284241;399318,94;11016,1743858;2828,49049284;25,5257896373237;23,8252632743451;2;129482,29309;3407,42876552632;145338,18205;3824,68900131579;120866,31899;3180,692605;137073,56847;3607,19917026316;0;0;0;22;0;282;3;1;0;0;0;0;0;11;0;0;2
