"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
41;679872,06;50510,0880219;358630,97142;270731;14932,8674275;3420,75420062;17,2325532791436;16,2127659878849;2;321056,55224;6830,99047319149;360433,11764;7668,78973702127;306177,12702;6514,40695787234;342264,86854;7282,23124553192;2;1;1;35;2;301;3;8;0;3;0;77;0;14;2;0;2
42;544197,45;30164,2536559;289757,808651;224275,39;11851,9142776;3792,69602611;18,9859461397744;15,7624324205716;2;196959,52466;5323,23039621622;221148,10187;5976,97572621622;188138,97403;5084,83713594595;210307,51687;5683,98694243243;1;1;1;77;2;255;10;14;0;6;0;19;0;16;1;0;5
43;390822,2;37252,2868906;184355,944144;169213,97;8819,27923794;734,296666568;19,5004761105429;17,4757142293978;1;95412,72236;4543,46296952381;107139,0381;5101,85895714286;91178,0396;4341,81140952381;101753,51197;4845,40533190476;3;2;4;9;2;227;8;10;0;5;0;10;0;7;1;0;15
44;968533,59;119698,899919;373551,941858;475282,75;18177,7282635;6395,89527401;25,2760975767942;23,1329269641847;2;182606,58113;4453,81905195122;205218,30422;5005,32449317073;172009,50708;4195,35383121951;192865,27807;4704,03117243902;4;5;1;35;6;363;6;6;0;2;0;10;0;11;1;0;7
45;341827,04;51360,1174338;133623,000046;156843,92;6074,52340832;2342,91721106;23,2482353939779;17,8655883704951;2;156446,14284;4601,35714235294;175631,6658;5165,63722941176;149441,76121;4395,34591794118;166715,84176;4903,40711058824;2;3;3;122;1;111;22;12;0;2;0;13;0;29;4;0;10
46;701857,23;60841,3044809;166640,58141;474375,34;11438,674502;4174,87296806;20,7503029505337;16,7133333177231;2;82546,20925;2501,40028030303;92744,9299;2810,45242121212;79023,96675;2394,66565909091;88268,17194;2674,79308909091;2;3;5;70;5;228;10;6;0;0;0;4;0;18;1;0;2
47;1323836,85;72611,5253805;499895,801526;751329,52;28540,0262249;9738,87473497;19,8197998475976;15,6450999784473;2;514909,34422;5149,0934422;578099,33042;5780,9933042;490692,20188;4906,9220188;549569,41811;5495,6941811;2;3;3;98;2;644;10;9;0;0;0;1;0;17;3;0;11
48;1063014;113421,539487;323797,370229;625795,09;19655,9713597;6798,00314756;23,2242553487742;22,0902128219662;2;294618,42002;6268,47702170213;330707,80464;7036,33626893617;280794,07139;5974,34194446808;313889,27008;6678,49510808511;2;1;6;9;2;447;2;7;0;0;0;6;0;23;1;0;10
49;942842,16;54796,6313512;337044,680344;551000,85;20232,2853256;9154,75717664;24,220000038144;20,765399932864;2;315046,93987;6300,9387974;353655,23494;7073,1046988;300959,89682;6019,1979364;335725,6698;6714,513396;2;1;3;100;1;483;22;5;0;0;0;2;0;7;3;0;5
50;61587,53;2664,5600613;31349,7003765;27573,27;1812,94951678;739,10837364;17,9872727827455;15,8181818181818;2;43540,24912;3958,20446545454;48884,08208;4444,00746181818;41588,74548;3780,79504363636;46400,56112;4218,23282909091;3;0;3;25;2;38;9;9;0;0;0;10;0;11;3;0;5
